agent1,x1,y1,agent2,x2,y2
human,-0.4795074857,-3.2800926544,robot,-0.60798913,2.9862510044
human,-0.4782906841,-3.2632123056,robot,-0.6082934003,2.9716404648
human,-0.4770683919,-3.2462716719,robot,-0.6086598124,2.9570211576
human,-0.475867718,-3.2292649971,robot,-0.6090957341,2.9424074656
human,-0.4747169144,-3.2121890395,robot,-0.6096037551,2.9278137436
human,-0.4736435326,-3.1950418322,robot,-0.6101815585,2.913252714
human,-0.4726728195,-3.1778215446,robot,-0.6108224585,2.8987343767
human,-0.4718263564,-3.1605258374,robot,-0.6115169718,2.8842659765
human,-0.4711212089,-3.143151648,robot,-0.6122548217,2.8698523559
human,-0.4705697689,-3.1256952641,robot,-0.6130266992,2.8554961547
human,-0.4701800869,-3.1081523536,robot,-0.6138256277,2.8411981723
human,-0.4699564354,-3.0905176652,robot,-0.6146476999,2.8269580533
human,-0.4698998441,-3.0727846085,robot,-0.6154920575,2.812774937
human,-0.4700086245,-3.0549452562,robot,-0.6163604191,2.7986476977
human,-0.4702791274,-3.0369908304,robot,-0.6172565274,2.7845749253
human,-0.4707065127,-3.0189123608,robot,-0.6181855962,2.7705550533
human,-0.471285243,-3.0007014368,robot,-0.6191536189,2.7565866253
human,-0.4720094699,-2.9823509397,robot,-0.6201665018,2.7426684331
human,-0.4728732282,-2.9638556537,robot,-0.6212292079,2.7287993427
human,-0.4738700952,-2.9452132009,robot,-0.6223450974,2.7149777607
human,-0.47499246,-2.926425447,robot,-0.6235156062,2.7012010887
human,-0.4762307764,-2.9074997055,robot,-0.6247404518,2.6874657139
human,-0.4775728062,-2.888449414,robot,-0.6260184039,2.6737674661
human,-0.4790028003,-2.8692945146,robot,-0.6273484699,2.6601020451
human,-0.480500927,-2.8500614185,robot,-0.6287311173,2.646465439
human,-0.4820432715,-2.8307821406,robot,-0.630168878,2.6328544187
human,-0.4836022955,-2.8114927268,robot,-0.6316661648,2.6192665112
human,-0.4851475131,-2.792231248,robot,-0.6332287687,2.6056991097
human,-0.4866464378,-2.773035212,robot,-0.6348634475,2.5921483623
human,-0.4880659126,-2.7539388286,robot,-0.6365776987,2.5786086921
human,-0.4893737984,-2.734971268,robot,-0.638379451,2.5650730788
human,-0.4905410121,-2.7161560534,robot,-0.6402763781,2.5515336175
human,-0.491543739,-2.6975106248,robot,-0.6422749024,2.5379818723
human,-0.4923653998,-2.6790457274,robot,-0.6443791071,2.5244088822
human,-0.4929979258,-2.6607652574,robot,-0.6465897533,2.5108050681
human,-0.493441984,-2.6426670359,robot,-0.648903664,2.4971602073
human,-0.4937061725,-2.6247441707,robot,-0.6513138501,2.4834633567
human,-0.4938056055,-2.6069862411,robot,-0.6538105647,2.4697028596
human,-0.4937603082,-2.5893799452,robot,-0.6563828544,2.4558666882
human,-0.4935935767,-2.5719095639,robot,-0.6590199216,2.4419431616
human,-0.4933302011,-2.5545577123,robot,-0.6617120398,2.4279222652
human,-0.4929945695,-2.5373063361,robot,-0.6644510213,2.413797358
human,-0.4926089658,-2.5201375176,robot,-0.6672300515,2.3995662466
human,-0.4921922965,-2.5030337159,robot,-0.6700428398,2.3852315215
human,-0.491759323,-2.485977435,robot,-0.6728824279,2.3708009587
human,-0.4913204245,-2.4689507805,robot,-0.6757400629,2.3562874995
human,-0.4908817394,-2.4519355308,robot,-0.6786046112,2.3417078121
human,-0.4904456152,-2.4349136992,robot,-0.681463165,2.3270804414
human,-0.49001147,-2.4178680649,robot,-0.6843029637,2.3124249808
human,-0.4895767056,-2.4007827046,robot,-0.6871137799,2.2977618981
human,-0.4891369558,-2.3836435308,robot,-0.6898897745,2.2831124287
human,-0.4886855824,-2.366438233,robot,-0.6926302017,2.2684982158
human,-0.4882131228,-2.3491558424,robot,-0.6953385373,2.2539398268
human,-0.4877073687,-2.3317870147,robot,-0.6980201833,2.2394542463
human,-0.4871542481,-2.3143249722,robot,-0.7006797108,2.225052825
human,-0.4865391983,-2.29676613,robot,-0.7033187814,2.2107407559
human,-0.4858483638,-2.2791099719,robot,-0.7059353852,2.1965180473
human,-0.4850691437,-2.2613582115,robot,-0.7085242909,2.1823810839
human,-0.4841904211,-2.2435137042,robot,-0.7110781425,2.1683238421
human,-0.4832029244,-2.2255796949,robot,-0.713588833,2.1543388595
human,-0.4820994966,-2.2075597103,robot,-0.7160490112,2.140418233
human,-0.480874885,-2.1894575849,robot,-0.7184534831,2.1265543322
human,-0.4795250643,-2.1712764996,robot,-0.7208002941,2.1127401583
human,-0.4780466411,-2.153017787,robot,-0.7230912864,2.0989695153
human,-0.4764368607,-2.1346811625,robot,-0.7253319134,2.0852370354
human,-0.4746940031,-2.1162658959,robot,-0.7275303573,2.0715380385
human,-0.4728177791,-2.0977716086,robot,-0.7296963383,2.0578680011
human,-0.4708097447,-2.0791984441,robot,-0.7318399124,2.0442216505
human,-0.4686739096,-2.0605473379,robot,-0.7339701937,2.0305923172
human,-0.4664174196,-2.0418213027,robot,-0.7360939717,2.0169720611
human,-0.4640511436,-2.0230274985,robot,-0.7382145389,2.0033524857
human,-0.4615902615,-2.0041789499,robot,-0.7403309982,1.9897258657
human,-0.4590545499,-1.9852949154,robot,-0.742438078,1.9760859312
human,-0.4564678912,-1.9663995397,robot,-0.7445265424,1.9624278243
human,-0.4538572835,-1.9475197907,robot,-0.7465843331,1.948747709
human,-0.4512517532,-1.9286836996,robot,-0.7485981366,1.9350424208
human,-0.4486811248,-1.9099187196,robot,-0.7505546851,1.921308772
human,-0.44617464,-1.8912503341,robot,-0.7524415764,1.9075429329
human,-0.4437594448,-1.8727010567,robot,-0.754248029,1.8937408334
human,-0.441459052,-1.8542893555,robot,-0.7559657057,1.8798991008
human,-0.4392921711,-1.8360287502,robot,-0.7575893131,1.8660151284
human,-0.4372719735,-1.8179277592,robot,-0.7591168936,1.8520859371
human,-0.4354053936,-1.7999905297,robot,-0.7605500382,1.8381069009
human,-0.4336924112,-1.7822173726,robot,-0.7618942204,1.8240715499
human,-0.4321257304,-1.7646050017,robot,-0.7631590438,1.8099727455
human,-0.4306911283,-1.7471468049,robot,-0.7643579131,1.7958041812
human,-0.4293683753,-1.7298330053,robot,-0.7655070994,1.7815607023
human,-0.4281325135,-1.7126505731,robot,-0.7666245208,1.7672374578
human,-0.4269553988,-1.6955834156,robot,-0.767728428,1.7528294126
human,-0.4258074987,-1.6786132457,robot,-0.7688362516,1.7383319992
human,-0.4246599057,-1.6617207583,robot,-0.7699637702,1.7237422103
human,-0.4234865262,-1.6448867066,robot,-0.7711245819,1.709059693
human,-0.4222662138,-1.6280928466,robot,-0.7723299015,1.6942880061
human,-0.4209844583,-1.6113224555,robot,-0.7735883412,1.679435536
human,-0.4196343478,-1.5945603874,robot,-0.7749050937,1.6645152454
human,-0.4182166696,-1.5777931044,robot,-0.776280481,1.6495432666
human,-0.4167392018,-1.5610086993,robot,-0.777708626,1.6345370768
human,-0.4152154452,-1.5441968689,robot,-0.7791772953,1.6195141254
human,-0.4136631282,-1.527349014,robot,-0.7806693993,1.6044913885
human,-0.4121026841,-1.5104582734,robot,-0.7821658342,1.5894855659
human,-0.4105557439,-1.493519014,robot,-0.7836489372,1.5745132836
human,-0.4090438709,-1.4765260741,robot,-0.7851056726,1.5595907103
human,-0.4075876969,-1.4594746052,robot,-0.7865297819,1.5447324232
human,-0.4062061428,-1.4423600582,robot,-0.7879225134,1.5299501692
human,-0.4049155213,-1.4251775571,robot,-0.7892919004,1.5152520733
human,-0.4037288408,-1.4079212837,robot,-0.7906509179,1.5006421143
human,-0.4026557018,-1.3905843407,robot,-0.7920153012,1.4861194972
human,-0.4017029526,-1.373158846,robot,-0.7934017791,1.4716775454
human,-0.4008758249,-1.3556360593,robot,-0.7948268802,1.4573032499
human,-0.4001789641,-1.3380062858,robot,-0.7963061309,1.442980165
human,-0.399617089,-1.3202586403,robot,-0.7978536231,1.4286938616
human,-0.3991952798,-1.3023809038,robot,-0.7994820156,1.4144357575
human,-0.3989189219,-1.2843594831,robot,-0.8012028354,1.4002041613
human,-0.3987934077,-1.266179768,robot,-0.8030267566,1.3860041105
human,-0.3988234776,-1.2478270793,robot,-0.8049636769,1.3718467326
human,-0.3990120483,-1.2292882538,robot,-0.8070225832,1.3577474623
human,-0.3993588287,-1.2105542513,robot,-0.8092111871,1.3437216522
human,-0.3998590605,-1.1916235136,robot,-0.8115355876,1.3297790064
human,-0.4005023645,-1.1725048967,robot,-0.8140003172,1.31592107
human,-0.4012717069,-1.1532197967,robot,-0.8166085638,1.3021424307
human,-0.4021428846,-1.1338030952,robot,-0.8193621711,1.2884331037
human,-0.4030850256,-1.1143008845,robot,-0.8222613364,1.2747810074
human,-0.4040621131,-1.0947653087,robot,-0.8253041547,1.2611740982
human,-0.405035003,-1.0752502286,robot,-0.8284862333,1.2476012191
human,-0.4059635434,-1.0558085516,robot,-0.8318003715,1.2340518928
human,-0.4068087577,-1.0364894284,robot,-0.8352362073,1.2205163639
human,-0.4075351396,-1.0173352666,robot,-0.8387801823,1.2069858191
